"filename", "language", "XML", "C#", "JSON", "comment", "blank", "total"
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Helper\DataHelper\PokemonData\LevelUpMovesHelper.cs", "C#", 0, 74, 0, 0, 2, 76
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Helper\MathHelper\PokemonStatCalculatorHelper.cs", "C#", 0, 61, 0, 0, 6, 67
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Helper\MathHelper\RNGHelper.cs", "C#", 0, 87, 0, 61, 25, 173
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Helper\MethodHelper.cs", "C#", 0, 111, 0, 1, 20, 132
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Map\Tile.cs", "C#", 0, 14, 0, 0, 2, 16
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Map\WorldMap.cs", "C#", 0, 138, 0, 3, 21, 162
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Pkmn\BoxMoveset.cs", "C#", 0, 70, 0, 1, 9, 80
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Pkmn\BoxPokemon.cs", "C#", 0, 88, 0, 0, 12, 100
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Pkmn\EvsAndIvs.cs", "C#", 0, 74, 0, 0, 6, 80
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Pkmn\Friendship.cs", "C#", 0, 47, 0, 0, 4, 51
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Pkmn\Interface\IPBEPokemon.cs", "C#", 0, 25, 0, 6, 16, 47
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Pkmn\Interface\IPBESpeciesForm.cs", "C#", 0, 9, 0, 0, 2, 11
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Pkmn\Interface\IPBEStatCollection.cs", "C#", 0, 21, 0, 0, 0, 21
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Pkmn\Moveset.cs", "C#", 0, 80, 0, 1, 5, 86
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\Pkmn\Pokerus.cs", "C#", 0, 51, 0, 2, 5, 58
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Model\PokemonCreation\PartyPokemon.cs", "C#", 0, 144, 0, 3, 14, 161
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\PokemonGame.Model.csproj", "XML", 11, 0, 0, 0, 4, 15
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameModel\Program.cs", "C#", 0, 12, 0, 0, 2, 14
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameUnitTests\DBTests\SQLiteDataProviderTests.cs", "C#", 0, 25, 0, 0, 10, 35
"c:\Users\yoav\source\repos\PokemonGame\PokemonGameUnitTests\PokemonGame.Tests.csproj", "XML", 23, 0, 0, 0, 7, 30
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\App.xaml", "XML", 63, 0, 0, 2, 8, 73
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\App.xaml.cs", "C#", 0, 92, 0, 3, 19, 114
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Converters\BoolToVisibilityConverter.cs", "C#", 0, 18, 0, 0, 3, 21
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Converters\InverseBoolToVisibilityConverter.cs", "C#", 0, 18, 0, 0, 4, 22
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Converters\NullToBoolConverter .cs", "C#", 0, 21, 0, 0, 3, 24
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Converters\OnlineStatusConverter.cs", "C#", 0, 21, 0, 0, 3, 24
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Converters\WinnerTextConverter.cs", "C#", 0, 21, 0, 0, 3, 24
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\MainWindow.xaml", "XML", 33, 0, 0, 2, 11, 46
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\MainWindow.xaml.cs", "C#", 0, 21, 0, 4, 4, 29
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\PokemonGame.Views.csproj", "XML", 577, 0, 0, 0, 0, 577
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\PokemonGame.csproj", "XML", 561, 0, 0, 0, 0, 561
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Properties\AssemblyInfo.cs", "C#", 0, 20, 0, 24, 9, 53
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Properties\Resources.Designer.cs", "C#", 0, 40, 0, 23, 9, 72
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Properties\Settings.Designer.cs", "C#", 0, 16, 0, 9, 6, 31
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Themes\Generic.xaml", "XML", 180, 0, 0, 10, 12, 202
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Controls\BoardBackground.cs", "C#", 0, 27, 0, 0, 6, 33
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Controls\DialogService .cs", "C#", 0, 54, 0, 3, 13, 70
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Controls\PasswordHelper.cs", "C#", 0, 48, 0, 1, 12, 61
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\OnlineBattlePage\BatlleMenuPage.xaml", "XML", 72, 0, 0, 3, 7, 82
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\OnlineBattlePage\BatlleMenuPage.xaml.cs", "C#", 0, 24, 0, 3, 2, 29
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\OnlineBattlePages\BattleMenuPage.xaml", "XML", 64, 0, 0, 4, 16, 84
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\OnlineBattlePages\BattleMenuPage.xaml.cs", "C#", 0, 24, 0, 3, 4, 31
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\OnlineBattlePages\HistoryBattlePage.xaml", "XML", 115, 0, 0, 3, 11, 129
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\OnlineBattlePages\HistoryBattlePage.xaml.cs", "C#", 0, 26, 0, 3, 3, 32
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\OnlineBattlePages\OnlineBattleShell.xaml", "XML", 41, 0, 0, 4, 12, 57
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\OnlineBattlePages\OnlineBattleShell.xaml.cs", "C#", 0, 24, 0, 3, 2, 29
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\OnlineBattlePages\OnlineFriendsPage.xaml", "XML", 60, 0, 0, 4, 9, 73
"c:\Users\yoav\source\repos\PokemonGame\PokemonGame\Views\Pages\OnlineBattlePages\OnlineFriendsPage.xaml.cs", "C#", 0, 26, 0, 3, 3, 32
